Arabic,English
الله(Allah),Go
ما (ma),what
هذا (hatha),this
كان (kaana),was
لا (laa),no
أن (an),that
في (fi),in
لي (li),to me
هو (huwa), he
على (ala),on
من (min),from
أنا (ana),I
له (lahu),to him
هي (hiya),she
مع (maa),with
نحن (nahnu),we
لك (laka),to you
يوم (yawm),day
بعد (baad),after
عن (an),about
كل (kull),all
قلب (qalb),heart
أم (umm),mother
حب (hubb),love
إلى (ila),to
ذهب (dahaba),went
جاء (jaa),came
شيء (shay),thing
كتاب (kitab),book
زمان (zaman),time
بيت (bayt),house
أب (ab),father
صديق (sadeeq),friend
رجل (rajul),man
إمرأة (imraa),woman
كبير (kabir),big
صغير (saghir),small
ليل (layl),night
يد (yad),hand
عين (ain),eye
وجه (wajh),face
رأس (raas),head
قدم (qadam),foot
شعر (shaar),hair
فم (fam),mouth
خير (khayr),good
شر (shar),evil
سماء (samaa),sky
أرض (ard),earth
بحر (bahr),sea
نار (naar),fire
هم (hum),they
ذاك (dhaak),that
آخر (akhir),last
أول (awwal),first
جديد (jadid),new
قديم (qadeem),old
بيضاء (bayda),white
سوداء (sawda),black
حلوة (halwa),sweet
مرة (mara),bitter
قوي (qawi),strong
ضعيف (da'eef),weak
غني (ghani),rich
فقير (faqeer),poor
كثير (katheer),many
قليل (qaleel),few
بعيد (ba'eed),far
قريب (qareeb),near
طويل (tawil),long
قصير (qaseer),short
صعب (sa'ab),hard
سهل (sahl),easy
بطيء (batee'),slow
سريع (saree'),fast
ضائع (daa'i),lost
موجود (mawjood),found
حي (hayy),alive
ميت (mayyit),dead
سعيد (sa'eed),happy
حزين (hazeen),sad
حق (haqq),truth
باطل (batil),false
جوعان (joo'an),hungry
شبعان (shib'aan),full
عطشان (atshaan),thirsty
سكران (sakraan),drunk
عار (aar),shame
شرف (sharaf),honor
حر (hurr),free
عبد (abd),slave
غضب (ghadab),anger
سلام (salaam),peace
حرب (harb),war
برد (bard),cold
حر (harr),hot
يمين (yameen),right
يسار (yesaar),left
صباح (sabah),morning
ليل (layl),night